"season","change","temperature","seed"
21,-0.00196763192937198,-0.00196763192937198,15
22,-0.193628411707835,-0.195596043637207,15
23,-1.29502884105283,-1.49062488469004,15
24,-0.761257011939957,-2.25188189663,15
25,0.751752041082503,-1.50012985554749,15
26,0.316521331755961,-1.18360852379153,15
27,-0.440067229441227,-1.62367575323276,15
28,-0.632600954101952,-2.25627670733471,15
29,-0.217451009740355,-2.47372771707506,15
30,0.634267666369274,-1.83946005070579,15
31,0.779473624132763,-1.05998642657303,15
32,-0.855164153209978,-1.91515057978301,15
33,0.436143550210354,-1.47900702957265,15
34,0.81441367332762,-0.664593356245031,15
35,-1.33304328132899,-1.99763663757402,15
36,0.344226442726206,-1.65341019484782,15
37,0.226894062450126,-1.42651613239769,15
38,-0.774221894110371,-2.20073802650806,15
39,-0.982766261615698,-3.18350428812376,15
40,-0.648245139445964,-3.83174942756972,15
41,-0.429728548175003,-4.26147797574473,15
42,0.599166647386763,-3.66231132835796,15
43,-2.36788103409326,-6.03019236245122,15
44,0.710848783681875,-5.31934357876935,15
45,-0.885979313779707,-6.20532289254905,15
46,-0.00277788223707406,-6.20810077478613,15
47,0.606049738841262,-5.60205103594486,15
48,-0.910991458355276,-6.51304249430014,15
49,0.840824968249838,-5.6722175260503,15
50,0.29584713973426,-5.37637038631604,15
51,0.828355663532485,-4.54801472278356,15
52,1.11295421909604,-3.43506050368752,15
53,2.32520492226444,-1.10985558142308,15
54,-0.354675405332916,-1.464530986756,15
55,-0.0910673397693991,-1.55559832652539,15
56,0.186283117425041,-1.36931520910035,15
57,-0.513075347989076,-1.88239055708943,15
58,-0.101941536315396,-1.98433209340483,15
59,0.54377577100907,-1.44055632239576,15
60,0.216469757288827,-1.22408656510693,15
61,-0.791709527177725,-2.01579609228465,15
62,0.0216493140218281,-1.99414677826283,15
63,0.461706961751817,-1.53243981651101,15
64,-0.273318568009215,-1.80575838452022,15
65,-0.539426983736717,-2.34518536825694,15
66,0.302650439944122,-2.04253492831282,15
67,1.65365860716816,-0.38887632114466,15
68,-1.15365626351755,-1.54253258466221,15
69,-0.684143648606871,-2.22667623326908,15
70,-1.55573945276557,-3.78241568603465,15
0,0,0,15
0,0,0,15
0,0,0,15
0,0,0,15
0,0,0,15
0,0,0,15
0,0,0,15
0,0,0,15
0,0,0,15
0,0,0,15
0,0,0,15
0,0,0,15
0,0,0,15
0,0,0,15
0,0,0,15
0,0,0,15
0,0,0,15
0,0,0,15
0,0,0,15
0,0,0,15
