"Prediction","Actual","Difference","Seed"
0.078,-0.528519182813113,-0.528519182813113,14
0.156,1.73124958958435,2.25976877239746,14
0.234,2.17829563079551,0.44704604121116,14
0.312,1.68399163616092,-0.494303994634588,14
0.39,0.356880774672735,-1.32711086148819,14
0.468,1.59695455971701,1.24007378504427,14
0.546,0.48654326377721,-1.1104112959398,14
0.624,1.60362585465308,1.11708259087587,14
0.702,0.356548993386818,-1.24707686126626,14
0.78,1.73597298638513,1.37942399299831,14
0.858,0.507182027856714,-1.22879095852841,14
0.936,1.21038995043103,0.703207922574312,14
1.014,1.63187331417502,0.421483363743999,14
1.092,0.823663122840174,-0.808210191334851,14
1.17,1.6172520969417,0.793588974101525,14
1.248,2.05699959195806,0.439747495016361,14
1.326,3.03302316561741,0.976023573659352,14
1.404,2.88098505407923,-0.152038111538183,14
1.482,1.60615345153471,-1.27483160254452,14
1.56,2.55712202131586,0.950968569781146,14
1.638,0.477090954112419,-2.08003106720344,14
1.716,1.53401827718362,1.0569273230712,14
1.794,1.92125660249978,0.387238325316161,14
1.872,1.61601648892301,-0.305240113576771,14
1.95,2.59965375235052,0.983637263427509,14
2.028,1.32547817339966,-1.27417557895086,14
2.106,3.42869780505242,2.10321963165276,14
2.184,2.95824739023791,-0.4704504148145,14
2.262,1.89601696181265,-1.06223042842527,14
2.34,1.03159378375719,-0.86442317805546,14
2.418,1.11488611673946,0.0832923329822746,14
2.496,2.19521159381959,1.08032547708013,14
2.574,2.83478001526616,0.639568421446566,14
2.652,3.31119940165537,0.476419386389208,14
2.73,3.12626600171329,-0.184933399942082,14
2.808,2.48549614272511,-0.640769858988174,14
2.886,3.15883191702167,0.673335774296554,14
2.964,2.72442338356439,-0.434408533457277,14
3.042,4.24128326970727,1.51685988614289,14
3.12,3.13454351030805,-1.10673975939923,14
3.198,2.80287180933587,-0.331671700972173,14
3.276,3.62647400713296,0.823602197797087,14
3.354,3.39168703747405,-0.234786969658906,14
3.432,3.37772712513726,-0.0139599123367957,14
3.51,2.32195706077554,-1.05577006436171,14
3.588,1.62967484823593,-0.692282212539611,14
3.666,2.84709150190806,1.21741665367213,14
3.744,4.30550840658837,1.4584169046803,14
3.822,4.3562348370158,0.0507264304274369,14
3.9,3.89460972354167,-0.461625113474135,14
3.978,2.26850278824597,-1.62610693529569,14
4.056,5.73299763681368,3.46449484856771,14
4.134,3.22574138949957,-2.50725624731411,14
4.212,2.88282171049065,-0.342919679008927,14
4.29,4.27641458874116,1.39359287825051,14
4.368,4.85977602898824,0.583361440247081,14
4.446,3.70270450904859,-1.15707151993966,14
4.524,4.23228715494735,0.529582645898765,14
4.602,5.62055661078545,1.3882694558381,14
4.68,4.55010514377074,-1.07045146701472,14
4.758,4.56979072731987,0.019685583549137,14
4.836,4.21211873241061,-0.357671994909261,14
4.914,4.87460236754581,0.662483635135199,14
4.992,3.92755319033277,-0.947049177213039,14
5.07,4.36190489435806,0.43435170402529,14
5.148,4.3060674595907,-0.0558374347673638,14
5.226,5.30769996960682,1.00163251001612,14
5.304,4.60979114067894,-0.697908828927879,14
5.382,6.98394159169233,2.37415045101339,14
5.46,5.61621018755435,-1.36773140413798,14
5.538,6.29451672551702,0.678306537962666,14
5.616,5.60027831971401,-0.694238405803006,14
5.694,6.1450719332947,0.544793613580692,14
5.772,6.09777009245973,-0.0473018408349715,14
5.85,5.95316528931986,-0.14460480313987,14
5.928,6.96997366764169,1.01680837832183,14
6.006,5.48645174554241,-1.48352192209928,14
6.084,6.59041752561554,1.10396578007313,14
6.162,6.15054341489318,-0.439874110722361,14
6.24,5.71654259810902,-0.434000816784161,14
6.318,5.69092842744613,-0.025614170662891,14
6.396,7.46755496599322,1.77662653854709,14
6.474,6.81258109260737,-0.654973873385849,14
6.552,6.08396251841077,-0.728618574196601,14
6.63,6.0512523124593,-0.0327102059514681,14
6.708,8.27804792430888,2.22679561184958,14
6.786,6.58163984730145,-1.69640807700743,14
6.864,5.98526653905248,-0.59637330824897,14
6.942,6.97658974004552,0.991323200993039,14
7.02,5.5157236797138,-1.46086606033172,14
7.098,7.82194981105477,2.30622613134097,14
7.176,6.20724572764005,-1.61470408341472,14
7.254,6.3110928007315,0.103847073091447,14
7.332,8.34089203807861,2.02979923734711,14
7.41,6.8474128944238,-1.49347914365481,14
7.488,7.17103335592447,0.323620461500671,14
7.566,7.64480134429686,0.473767988372392,14
7.644,7.04896654870567,-0.595834795591187,14
7.722,8.00238430145385,0.953417752748182,14
7.8,7.09304021120295,-0.909344090250901,14
