"speciesid","population","season"
1,150,-1
2,150,-1
3,150,-1
4,150,-1
5,150,-1
6,150,-1
7,150,-1
8,150,-1
9,150,-1
10,150,-1
11,150,-1
12,150,-1
13,150,-1
14,150,-1
15,150,-1
16,150,-1
17,150,-1
18,150,-1
19,150,-1
20,150,-1
1,150,0
2,150,0
3,150,0
4,150,0
5,150,0
6,150,0
7,150,0
8,150,0
9,150,0
10,150,0
11,150,0
12,150,0
13,150,0
14,150,0
15,150,0
16,150,0
17,150,0
18,150,0
19,150,0
20,150,0
2,8,1
3,198,1
4,18,1
5,110,1
7,104,1
8,250,1
9,6,1
10,6,1
11,6,1
12,52,1
13,18,1
14,42,1
15,140,1
18,40,1
19,10,1
20,202,1
3,310,2
4,2,2
5,124,2
7,62,2
8,458,2
9,2,2
11,2,2
12,24,2
14,16,2
15,172,2
18,30,2
20,328,2
3,608,3
5,226,3
7,76,3
8,908,3
9,2,3
12,20,3
14,12,3
15,322,3
18,58,3
20,644,3
3,1214,4
5,448,4
7,122,4
8,1816,4
9,4,4
12,28,4
14,6,4
15,630,4
18,116,4
20,1288,4
3,2426,5
5,882,5
7,178,5
8,3632,5
9,4,5
12,48,5
14,10,5
15,1234,5
18,232,5
20,2576,5
3,4830,6
5,1730,6
7,270,6
8,7264,6
9,6,6
12,70,6
14,6,6
15,2438,6
18,456,6
20,5150,6
3,9340,7
5,3284,7
7,388,7
8,14440,7
9,12,7
12,104,7
14,6,7
15,4728,7
18,846,7
20,10272,7
3,12824,8
5,5310,8
7,446,8
8,24538,8
9,20,8
12,124,8
14,4,8
15,7862,8
18,1330,8
20,19518,8
3,10244,9
5,6328,9
7,324,9
8,28650,9
9,26,9
12,96,9
15,9442,9
18,1566,9
20,31320,9
3,6934,10
5,6190,10
7,194,10
8,28082,10
9,30,10
12,66,10
15,9712,10
18,1386,10
20,40386,10
3,4822,11
5,5568,11
7,90,11
8,27532,11
9,24,11
12,36,11
15,9734,11
18,1168,11
20,45352,11
3,3732,12
5,4948,12
7,22,12
8,27868,12
9,24,12
12,14,12
15,9586,12
18,960,12
20,47344,12
3,3002,13
5,4288,13
7,6,13
8,29372,13
9,22,13
12,8,13
15,9186,13
18,762,13
20,47882,13
3,2310,14
5,3670,14
8,30092,14
9,24,14
12,4,14
15,9244,14
18,554,14
20,48502,14
3,1746,15
5,3266,15
8,31154,15
9,24,15
12,4,15
15,9434,15
18,452,15
20,48776,15
3,1402,16
5,2988,16
8,31264,16
9,24,16
12,2,16
15,9334,16
18,356,16
20,49294,16
3,1108,17
5,2730,17
8,31156,17
9,28,17
15,9544,17
18,306,17
20,49756,17
3,862,18
5,2484,18
8,30724,18
9,26,18
15,9878,18
18,304,18
20,49684,18
3,664,19
5,2448,19
8,30932,19
9,24,19
15,10326,19
18,254,19
20,49542,19
3,596,20
5,2426,20
8,30874,20
9,24,20
15,10494,20
18,216,20
20,49398,20
3,482,21
5,2342,21
8,30850,21
9,24,21
15,10696,21
18,194,21
20,49808,21
3,398,22
5,2456,22
8,31216,22
9,34,22
15,10588,22
18,204,22
20,48938,22
3,346,23
5,2410,23
8,31464,23
9,42,23
15,10128,23
18,208,23
20,49424,23
3,290,24
5,2356,24
8,31254,24
9,60,24
15,10176,24
18,192,24
20,50754,24
3,200,25
5,2238,25
8,30990,25
9,78,25
15,9830,25
18,190,25
20,50400,25
3,158,26
5,2038,26
8,30350,26
9,96,26
15,9818,26
18,164,26
20,50924,26
3,122,27
5,1792,27
8,29124,27
9,126,27
15,10294,27
18,144,27
20,53188,27
3,78,28
5,1592,28
8,28270,28
9,168,28
15,10862,28
18,140,28
20,54260,28
3,52,29
5,1430,29
8,27678,29
9,238,29
15,11110,29
18,118,29
20,54832,29
3,32,30
5,1202,30
8,27350,30
9,284,30
15,10942,30
18,98,30
20,55658,30
