"speciesid","active","dead","pollinated","maturity","x_loc","y_loc","emergence","interactions","midpoint","scale","skew","midpoint.sensitivity","scale.sensitivity","skew.sensitivity","generalism","lifespan","seedlings","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","season","run"
9,0,0,0,0,12,13,90,19,90.0007639126852,-0.520118488837033,1.88186006108299,-2.48624628820468,-0.000625330857001245,0.0222522095404565,1,22,0,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,0,1,1,0,0,0,1,1,0,0,1,15
18,0,0,0,0,20,30,97,3,91.0132407629862,-0.547171640326269,1.57066420326009,-7.57027637170999,-0.00376574131660163,0.0228859311644919,0,22,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15
20,0,0,0,0,1,30,107,3,110.577355558053,0.445378954173066,1.56000074138865,-4.64698651671725,-0.00407785368384793,-0.00170073223067448,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,15
4,0,0,0,0,7,15,109,4,104.720224770717,0.516425757925026,1.31673679919913,-7.00718787465692,0.00643982264911756,0.00141218934208155,0,36,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,15
6,0,0,0,0,37,13,99,5,101.862763389945,-0.353966966550797,1.10525752720423,-7.37966791323667,0.00187074713991024,0.0223152345139533,0,31,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,15
8,0,0,0,0,18,7,111,7,108.907777061686,-0.376444222801365,1.1703786989674,1.63608508721556,-0.000965953660197557,0.0133526713564061,1,30,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,15
11,0,0,0,0,39,11,107,10,108.01622774452,-0.3425511659123,1.87752406625077,-8.21199819526185,0.00619780628010631,0.0188709545275196,1,29,0,1,1,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,15
1,0,0,0,0,31,12,112,6,114.321751655079,-0.316124872793443,1.73281221650541,-9.97740230810622,-0.00345795007888228,0.0117120722401887,0,29,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,15
7,0,0,0,0,17,3,111,1,107.349830651656,0.393709055101499,1.94832799909636,-3.97645349767147,0.00427475219708867,0.0106518157036044,0,33,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15
3,0,0,0,0,37,23,114,4,111.156143741682,-0.461851984891109,1.9277515807189,-6.26767808215107,0.0036891885404475,0.0252659065276384,0,24,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,15
