"speciesid","population","season","mean.emergence","median.emergence","q1","q3","first","last","sd","run","type"
16,30,2,124.733333333333,125,122.5,126.75,118.9,131.55,4.67519745725973,15,"control"
17,118,2,142.296610169492,142,139.25,146,136,149,4.53534895242225,15,"control"
18,24,2,107.416666666667,105.5,103.5,111,99.15,120.65,7.68350388065614,15,"control"
19,165,2,116.654545454545,117,114,120,107.2,124,5.19339935839592,15,"control"
20,126,2,96.984126984127,97,95,99,90.25,103,3.99596622004566,15,"control"
1,8,3,130,130,128.5,132,127,132.65,2.32992949004287,15,"control"
2,92,3,95.2391304347826,94.5,93,98,89,103,4.40621330839345,15,"control"
3,28,3,96.2857142857143,96,93.75,100,91.35,103.3,3.90495547332838,15,"control"
4,165,3,106.630303030303,107,104,109,98,113,4.20833122946388,15,"control"
5,69,3,96.8985507246377,97,93,99,90.4,105,4.9024151537075,15,"control"
6,10,3,119.4,119,117.25,121,115.45,124,3.09838667696593,15,"control"
7,159,3,109.100628930818,109,106,112,102,117,4.97613922908704,15,"control"
8,118,3,130.796610169492,131,128,133,122,137.15,5.0747562309926,15,"control"
9,156,3,104.948717948718,105,102,107,99,112.25,4.32516249449715,15,"control"
11,13,3,130.230769230769,131,126,133,118.4,144.6,8.37808496568922,15,"control"
12,19,3,120.789473684211,120,114.5,123.5,108.5,140.2,10.7216237750757,15,"control"
13,123,3,118.60162601626,118,116,121,113,124,3.79330695597765,15,"control"
14,93,3,129.795698924731,130,128,131,125,135.4,3.39295670657853,15,"control"
15,74,3,138.013513513514,137.5,134,140.75,131,147,5.12980344423909,15,"control"
16,23,3,125.521739130435,125,123.5,127,121.1,129.9,3.10233878370074,15,"control"
17,130,3,142.8,143,140,146,133.9,151,5.56762513217288,15,"control"
18,17,3,104.941176470588,103,102,109,97.4,112.2,5.12921275922648,15,"control"
19,177,3,116.502824858757,117,114,120,107.8,123,5.6358474132771,15,"control"
20,120,3,97.0666666666667,97,95,99,93,102.05,3.36749996620772,15,"control"
1,2,4,128.5,128.5,127.75,129.25,127.15,129.85,2.12132034355964,15,"control"
2,79,4,96.1898734177215,95,92.5,98.5,88,109.2,6.40928002950347,15,"control"
3,32,4,93.4375,94.5,91,96.25,87.65,99.45,4.87215591148379,15,"control"
4,173,4,107,108,105,110,99,112.8,4.47083572646359,15,"control"
5,84,4,97.7142857142857,98,93,101,88.3,107,6.24899303420001,15,"control"
6,7,4,117.714285714286,117,116,118.5,113.9,123.2,3.72890894294322,15,"control"
7,158,4,109.411392405063,109,106,112,103,117.15,4.7190220119741,15,"control"
8,122,4,131.106557377049,131,128,134.75,123,138,4.65292474810809,15,"control"
9,166,4,105.825301204819,105,103,108,99.25,112,4.05711775207232,15,"control"
11,6,4,124,125,120.25,126.75,117.5,130,5.21536192416212,15,"control"
12,17,4,115.176470588235,115,112,119,108,123,5.27061777827855,15,"control"
13,132,4,118.219696969697,118.5,116,120,112.55,123,3.02234526482963,15,"control"
14,87,4,130.287356321839,130,128,133,124.3,135.7,3.59879839758247,15,"control"
15,67,4,137.44776119403,137,135,140,130,145,4.7074524477862,15,"control"
16,21,4,126.666666666667,125,124,128,123,134,4.09063972177132,15,"control"
17,127,4,141.779527559055,142,139,145,133.3,150,5.25676191269627,15,"control"
18,15,4,107,109,99,110.5,96.1,121.9,8.86405260427918,15,"control"
19,175,4,117.182857142857,118,115,120,109,124,4.73562469111592,15,"control"
20,122,4,96.6639344262295,96,95,99,91.05,102,3.41994793768721,15,"control"
2,83,5,95.421686746988,95,91,98,87.1,105,5.35591872724661,15,"control"
3,27,5,95.6296296296296,94,93,97.5,90.6,100.7,4.93143876765071,15,"control"
4,168,5,106.916666666667,107,105,110,100,113,4.58769072493174,15,"control"
5,109,5,98.5412844036697,99,94,101,89,110.6,6.37781471644124,15,"control"
6,8,5,119.5,119.5,116.5,121.5,115,124.95,3.85449644663773,15,"control"
7,164,5,109.280487804878,108.5,106,112,102.15,120.85,5.32219427565603,15,"control"
8,124,5,131.25,131,128,134,124,139,5.16181256373083,15,"control"
9,177,5,105.435028248588,105,103,107,100,112,4.06307011723974,15,"control"
11,1,5,133,133,133,133,133,133,NA,15,"control"
12,10,5,116.1,117,113.25,119.75,107.7,122.55,5.50656174234179,15,"control"
13,128,5,118.34375,119,116,121,113,123.65,3.23961089332615,15,"control"
