speciesid,population,season,run
16,2,9,1
1,99,10,1
2,681,10,1
4,10,10,1
6,458,10,1
9,195,10,1
11,96,10,1
13,538,10,1
14,153,10,1
15,614,10,1
16,2,10,1
1,91,11,1
2,670,11,1
4,14,11,1
6,468,11,1
9,198,11,1
11,94,11,1
13,538,11,1
14,152,11,1
15,610,11,1
16,1,11,1
1,90,12,1
2,665,12,1
4,18,12,1
6,477,12,1
9,194,12,1
11,82,12,1
13,545,12,1
14,147,12,1
15,622,12,1
16,3,12,1
1,90,13,1
2,693,13,1
4,23,13,1
6,462,13,1
9,195,13,1
11,64,13,1
13,555,13,1
14,157,13,1
15,604,13,1
16,3,13,1
1,105,14,1
2,673,14,1
4,21,14,1
6,486,14,1
9,194,14,1
11,30,14,1
13,581,14,1
14,156,14,1
15,589,14,1
16,6,14,1
1,114,15,1
2,677,15,1
4,16,15,1
6,510,15,1
9,181,15,1
11,15,15,1
13,598,15,1
14,154,15,1
15,579,15,1
16,9,15,1
1,119,16,1
2,685,16,1
4,18,16,1
6,518,16,1
9,185,16,1
11,7,16,1
13,591,16,1
14,139,16,1
15,580,16,1
16,7,16,1
1,119,17,1
2,674,17,1
4,23,17,1
6,517,17,1
9,182,17,1
11,4,17,1
13,588,17,1
14,140,17,1
15,579,17,1
16,7,17,1
1,120,18,1
2,667,18,1
4,23,18,1
6,504,18,1
9,182,18,1
13,616,18,1
14,146,18,1
15,567,18,1
16,5,18,1
1,123,19,1
2,659,19,1
4,22,19,1
6,496,19,1
9,182,19,1
13,646,19,1
14,152,19,1
15,558,19,1
16,2,19,1
1,128,20,1
2,648,20,1
4,21,20,1
6,509,20,1
9,185,20,1
13,668,20,1
14,167,20,1
15,519,20,1
16,2,20,1
1,150,-1,4
2,150,-1,4
3,150,-1,4
4,150,-1,4
5,150,-1,4
6,150,-1,4
7,150,-1,4
8,150,-1,4
9,150,-1,4
10,150,-1,4
11,150,-1,4
12,150,-1,4
13,150,-1,4
14,150,-1,4
15,150,-1,4
16,150,-1,4
17,150,-1,4
18,150,-1,4
19,150,-1,4
20,150,-1,4
1,93,0,4
2,105,0,4
3,94,0,4
4,88,0,4
5,106,0,4
6,103,0,4
7,102,0,4
8,81,0,4
9,90,0,4
10,97,0,4
11,95,0,4
12,101,0,4
13,92,0,4
14,95,0,4
15,90,0,4
16,102,0,4
17,98,0,4
18,90,0,4
19,93,0,4
20,93,0,4
1,81,1,4
2,186,1,4
3,81,1,4
4,8,1,4
5,208,1,4
6,39,1,4
7,54,1,4
8,44,1,4
9,68,1,4
10,48,1,4
11,36,1,4
12,203,1,4
13,24,1,4
14,27,1,4
15,117,1,4
16,34,1,4
17,22,1,4
18,146,1,4
19,195,1,4
20,38,1,4
1,46,2,4
2,238,2,4
3,47,2,4
5,375,2,4
6,10,2,4
7,16,2,4
8,39,2,4
9,28,2,4
10,19,2,4
11,15,2,4
12,368,2,4
14,11,2,4
15,119,2,4
17,11,2,4
18,86,2,4
19,379,2,4
20,9,2,4
1,25,3,4
2,324,3,4
3,51,3,4
5,567,3,4
6,2,3,4
7,2,3,4
8,8,3,4
9,15,3,4
10,8,3,4
11,19,3,4
12,554,3,4
14,6,3,4
15,133,3,4
17,5,3,4
18,28,3,4
19,591,3,4
20,5,3,4
1,16,4,4
2,373,4,4
3,54,4,4
5,706,4,4
6,1,4,4
7,2,4,4
8,2,4,4
9,4,4,4
10,3,4,4
11,21,4,4
12,663,4,4
14,5,4,4
15,139,4,4
17,4,4,4
18,11,4,4
19,709,4,4
20,2,4,4
1,18,5,4
2,371,5,4
3,56,5,4
5,738,5,4
7,2,5,4
8,1,5,4
9,1,5,4
10,1,5,4
11,19,5,4
12,675,5,4
14,3,5,4
15,139,5,4
17,2,5,4
18,7,5,4
19,781,5,4
1,14,6,4
2,369,6,4
3,61,6,4
5,735,6,4
7,1,6,4
8,1,6,4
9,1,6,4
11,22,6,4
12,677,6,4
14,3,6,4
15,157,6,4
17,2,6,4
18,4,6,4
19,789,6,4
1,15,7,4
2,359,7,4
3,72,7,4
5,765,7,4
7,1,7,4
9,1,7,4
11,17,7,4
12,692,7,4
14,3,7,4
15,155,7,4
17,1,7,4
18,4,7,4
19,765,7,4
1,16,8,4
2,369,8,4
3,63,8,4
5,741,8,4
9,1,8,4
11,21,8,4
12,678,8,4
14,2,8,4
15,147,8,4
17,2,8,4
19,790,8,4
1,22,9,4
2,346,9,4
3,63,9,4
5,758,9,4
11,18,9,4
12,679,9,4
14,1,9,4
15,156,9,4
17,3,9,4
19,793,9,4
1,15,10,4
2,342,10,4
3,80,10,4
5,734,10,4
11,18,10,4
12,667,10,4
15,166,10,4
17,4,10,4
19,813,10,4
1,12,11,4
2,315,11,4
3,89,11,4
5,712,11,4
11,16,11,4
12,705,11,4
15,176,11,4
17,5,11,4
19,818,11,4
1,7,12,4
2,319,12,4
3,96,12,4
5,697,12,4
11,15,12,4
12,702,12,4
15,192,12,4
17,1,12,4
19,842,12,4
1,6,13,4
2,308,13,4
3,91,13,4
5,700,13,4
11,13,13,4
12,677,13,4
15,196,13,4
17,3,13,4
19,861,13,4
1,5,14,4
2,304,14,4
3,97,14,4
5,710,14,4
11,17,14,4
12,665,14,4
15,194,14,4
17,1,14,4
19,851,14,4
1,6,15,4
2,311,15,4
3,87,15,4
5,706,15,4
11,12,15,4
12,657,15,4
15,182,15,4
19,872,15,4
1,5,16,4
2,306,16,4
3,72,16,4
5,714,16,4
11,12,16,4
12,667,16,4
15,178,16,4
19,873,16,4
1,6,17,4
2,296,17,4
3,60,17,4
5,719,17,4
11,15,17,4
12,681,17,4
15,174,17,4
19,884,17,4
1,5,18,4
2,296,18,4
3,79,18,4
5,718,18,4
11,16,18,4
12,683,18,4
15,147,18,4
19,895,18,4
1,6,19,4
2,285,19,4
3,85,19,4
5,730,19,4
11,19,19,4
12,673,19,4
15,161,19,4
19,892,19,4
1,8,20,4
2,268,20,4
3,80,20,4
5,749,20,4
11,19,20,4
12,657,20,4
15,139,20,4
19,943,20,4
1,150,-1,3
2,150,-1,3
3,150,-1,3
4,150,-1,3
5,150,-1,3
6,150,-1,3
7,150,-1,3
8,150,-1,3
9,150,-1,3
10,150,-1,3
11,150,-1,3
12,150,-1,3
13,150,-1,3
14,150,-1,3
15,150,-1,3
16,150,-1,3
17,150,-1,3
18,150,-1,3
19,150,-1,3
20,150,-1,3
1,86,0,3
2,93,0,3
3,103,0,3
4,93,0,3
5,100,0,3
6,93,0,3
7,93,0,3
8,93,0,3
9,96,0,3
10,89,0,3
11,98,0,3
12,99,0,3
13,93,0,3
14,97,0,3
15,96,0,3
16,96,0,3
17,91,0,3
18,89,0,3
19,96,0,3
20,101,0,3
1,10,1,3
2,124,1,3
3,215,1,3
4,159,1,3
5,81,1,3
6,193,1,3
7,8,1,3
8,56,1,3
9,10,1,3
10,20,1,3
11,62,1,3
12,55,1,3
13,160,1,3
14,32,1,3
15,91,1,3
16,83,1,3
17,155,1,3
18,67,1,3
19,6,1,3
20,15,1,3
1,6,2,3
2,56,2,3
3,269,2,3
4,164,2,3
5,29,2,3
6,356,2,3
8,31,2,3
11,37,2,3
12,17,2,3
13,171,2,3
14,9,2,3
15,32,2,3
16,49,2,3
17,129,2,3
18,31,2,3
2,37,3,3
3,228,3,3
4,212,3,3
5,12,3,3
6,646,3,3
8,2,3,3
11,21,3,3
12,6,3,3
13,185,3,3
15,8,3,3
16,47,3,3
17,68,3,3
18,31,3,3
2,30,4,3
3,183,4,3
4,309,4,3
5,8,4,3
6,1093,4,3
11,15,4,3
13,217,4,3
15,6,4,3
16,66,4,3
17,24,4,3
18,21,4,3
2,33,5,3
3,145,5,3
4,376,5,3
6,1532,5,3
11,14,5,3
13,272,5,3
15,2,5,3
16,88,5,3
17,9,5,3
18,17,5,3
2,43,6,3
3,134,6,3
4,387,6,3
6,1761,6,3
11,10,6,3
13,294,6,3
15,1,6,3
16,85,6,3
17,3,6,3
18,12,6,3
2,40,7,3
3,146,7,3
4,385,7,3
6,1831,7,3
11,17,7,3
13,309,7,3
15,1,7,3
16,79,7,3
18,14,7,3
2,45,8,3
3,152,8,3
4,390,8,3
6,1842,8,3
11,10,8,3
13,310,8,3
16,76,8,3
18,17,8,3
2,43,9,3
3,155,9,3
4,396,9,3
6,1844,9,3
11,10,9,3
13,304,9,3
16,66,9,3
18,15,9,3
2,44,10,3
3,151,10,3
4,398,10,3
6,1831,10,3
11,12,10,3
13,311,10,3
16,69,10,3
18,18,10,3
2,41,11,3
3,142,11,3
4,408,11,3
6,1852,11,3
11,10,11,3
13,312,11,3
16,74,11,3
18,9,11,3
2,43,12,3
3,117,12,3
4,412,12,3
6,1850,12,3
11,13,12,3
13,300,12,3
16,82,12,3
18,9,12,3
2,40,13,3
3,115,13,3
4,412,13,3
6,1862,13,3
11,12,13,3
13,294,13,3
16,84,13,3
18,7,13,3
2,40,14,3
3,126,14,3
4,414,14,3
6,1875,14,3
11,12,14,3
13,277,14,3
16,79,14,3
18,7,14,3
2,39,15,3
3,135,15,3
4,412,15,3
6,1877,15,3
11,16,15,3
13,277,15,3
16,81,15,3
18,9,15,3
2,40,16,3
3,157,16,3
4,435,16,3
6,1843,16,3
11,14,16,3
13,289,16,3
16,74,16,3
18,7,16,3
2,39,17,3
3,157,17,3
4,427,17,3
6,1868,17,3
11,14,17,3
13,284,17,3
16,72,17,3
18,4,17,3
2,42,18,3
3,133,18,3
4,430,18,3
6,1873,18,3
11,13,18,3
13,290,18,3
16,66,18,3
18,5,18,3
2,38,19,3
3,146,19,3
4,438,19,3
6,1854,19,3
11,13,19,3
13,286,19,3
16,66,19,3
18,6,19,3
2,43,20,3
3,147,20,3
4,426,20,3
6,1880,20,3
11,12,20,3
13,284,20,3
16,61,20,3
18,5,20,3
1,150,-1,2
2,150,-1,2
3,150,-1,2
4,150,-1,2
5,150,-1,2
6,150,-1,2
7,150,-1,2
8,150,-1,2
9,150,-1,2
10,150,-1,2
11,150,-1,2
12,150,-1,2
13,150,-1,2
14,150,-1,2
15,150,-1,2
16,150,-1,2
17,150,-1,2
18,150,-1,2
19,150,-1,2
20,150,-1,2
1,105,0,2
2,100,0,2
3,94,0,2
4,101,0,2
5,90,0,2
6,96,0,2
7,99,0,2
8,101,0,2
9,95,0,2
10,98,0,2
11,91,0,2
12,99,0,2
13,76,0,2
14,96,0,2
15,83,0,2
16,91,0,2
17,94,0,2
18,100,0,2
19,103,0,2
20,94,0,2
1,14,1,2
2,64,1,2
3,7,1,2
4,65,1,2
5,14,1,2
6,6,1,2
7,106,1,2
8,27,1,2
9,33,1,2
10,185,1,2
11,67,1,2
12,200,1,2
13,53,1,2
14,194,1,2
15,148,1,2
16,135,1,2
17,191,1,2
18,39,1,2
19,6,1,2
20,45,1,2
2,15,2,2
4,6,2,2
7,88,2,2
8,7,2,2
10,140,2,2
11,15,2,2
12,351,2,2
13,2,2,2
14,400,2,2
15,253,2,2
16,22,2,2
17,141,2,2
18,6,2,2
19,3,2,2
7,48,3,2
8,6,3,2
10,34,3,2
11,4,3,2
12,479,3,2
14,681,3,2
15,423,3,2
16,3,3,2
17,40,3,2
7,16,4,2
8,2,4,2
10,12,4,2
12,584,4,2
14,923,4,2
15,631,4,2
17,15,4,2
7,9,5,2
8,1,5,2
10,2,5,2
12,629,5,2
14,1094,5,2
15,819,5,2
17,2,5,2
7,6,6,2
12,650,6,2
14,1192,6,2
15,918,6,2
7,3,7,2
12,654,7,2
14,1230,7,2
15,949,7,2
7,2,8,2
12,648,8,2
14,1226,8,2
15,976,8,2
7,4,9,2
12,650,9,2
14,1225,9,2
15,969,9,2
7,4,10,2
12,659,10,2
14,1245,10,2
15,948,10,2
7,1,11,2
12,639,11,2
14,1259,11,2
15,945,11,2
12,621,12,2
14,1259,12,2
15,952,12,2
12,651,13,2
14,1228,13,2
15,959,13,2
12,654,14,2
14,1269,14,2
15,932,14,2
12,661,15,2
14,1262,15,2
15,944,15,2
12,666,16,2
14,1236,16,2
15,937,16,2
12,649,17,2
14,1241,17,2
15,959,17,2
12,663,18,2
14,1227,18,2
15,947,18,2
12,669,19,2
14,1236,19,2
15,950,19,2
12,649,20,2
14,1254,20,2
15,940,20,2
