"speciesid","active","dead","hunger","maturity","x_loc","y_loc","emergence","interactions","midpoint","scale","skew","midpoint.sensitivity","scale.sensitivity","skew.sensitivity","generalism","lifespan","efficacy","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","season","run","type"
11,0,0,0,0,30,-2,95,11,95.7726490823552,0.461330355238169,1.07666147989221,-7.26011607198239,-0.000809432762907818,0.0390346419042908,1,35,0.0727862565196119,1,0,0,1,0,1,0,0,1,0,1,0,1,1,1,0,1,0,1,1,2,4,"control"
12,0,0,0,0,41,16,101,11,100.397201352753,0.362158224382438,1.08370589511469,-5.19176337988182,-0.0040874720539432,0.00575999789638445,1,37,0.0979449415765703,1,0,0,1,1,0,1,0,1,1,0,0,1,0,0,1,1,1,0,1,2,4,"control"
24,0,0,0,0,27,24,104,5,100.041970568709,0.371938572730869,1.22816234524362,-0.0174639787587543,0.00566510174423456,0.0128334102779627,0,37,0.0265282332478091,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,2,4,"control"
6,0,0,0,0,40,19,105,7,112.074722964317,-0.390838707564399,1.17765845963731,-15.760846051438,-0.00326073921169154,0.0167230012221262,0,29,0.0271287676505744,0,0,0,1,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,2,4,"control"
23,0,0,0,0,38,30,103,9,97.1342311520129,-0.554576381435618,1.3918954981491,0.0739995552633865,-0.00499676213716157,0.000770000016782433,1,39,0.0900931696826592,1,0,0,0,1,1,1,0,0,1,0,0,0,0,1,1,1,0,0,1,2,4,"control"
9,0,0,0,0,41,20,92,3,106.217519673519,-0.3529719728278,1.175668513868,-4.18413007936253,0.00490093651576899,0.0100030496576801,0,35,0.0858884877641685,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,4,"control"
25,0,0,0,0,3,20,94,4,90.2916982350871,-0.524731591762975,1.96375781437382,-9.1338986338483,-0.003126937529305,0.009314580259379,0,49,0.0317988013080321,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,4,"control"
1,0,0,0,0,27,38,113,6,111.755672721192,-0.303646542294882,1.01799335330725,-18.2909580745453,-0.00335356898838654,0.033276792333927,1,38,0.0450176360993646,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,2,4,"control"
16,0,0,0,0,12,25,112,12,106.566963046789,-0.574608218134381,1.53360358066857,-10.4556488954937,0.0077596888737753,0.00989821982569993,1,40,0.0645059393951669,0,1,1,0,1,0,1,1,0,1,1,1,0,0,1,1,1,1,0,0,2,4,"control"
3,0,0,0,0,17,3,132,6,127.17313606292,0.436309002921917,1.86421120073646,-8.48776737479374,0.00909957191441208,0.0183046698197722,0,29,0.0620980173698627,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,1,0,0,0,0,2,4,"control"
