"speciesid","active","dead","hunger","maturity","x_loc","y_loc","emergence","interactions","midpoint","scale","skew","midpoint.sensitivity","scale.sensitivity","skew.sensitivity","generalism","lifespan","efficacy","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","season","run","type"
23,0,0,0,0,0,0,0,5,99.5828424068168,0.562776050297543,1.52525832108222,0.929493114611508,0.00986543445731513,-0.00641571199754253,0,33,0.0948422053758986,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,-1,20,"midpoint"
24,0,0,0,0,0,0,0,6,103.417725227773,-0.475299331219867,1.7682636459358,-11.7300759623114,-0.00433042767457664,0.0060247141844593,0,31,0.0337971018627286,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,-1,20,"midpoint"
25,0,0,0,0,0,0,0,9,98.1695223692805,-0.503944027726538,1.45890262979083,-14.8720253195105,-0.00122055437415838,0.0368697328469716,1,30,0.0948556797252968,0,0,1,0,0,1,1,1,1,0,0,0,1,1,1,0,0,1,0,0,-1,20,"midpoint"
1,0,0,0,0,39,29,115,6,118.092707865871,0.575720042176545,1.20029080705717,6.90823540468152,-0.00309541694936343,0.0167273613368161,1,42,0.0322564782621339,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,20,"midpoint"
2,0,0,0,0,38,32,116,12,118.846937511116,0.520991534879431,1.35662530176342,-1.50105203019999,0.00561123189865612,0.0321717740595341,1,36,0.06136443316238,1,1,1,0,0,0,1,0,0,0,1,1,1,0,1,1,1,0,1,1,0,20,"midpoint"
3,0,0,0,0,30,2,117,15,111.228282800876,-0.420821718662046,1.74269581446424,-0.438053827647499,0.00295097255962901,-0.00240277979988605,1,41,0.0225871654110961,1,1,1,1,0,0,1,1,1,1,0,0,1,0,1,1,1,1,1,1,0,20,"midpoint"
4,0,0,0,0,39,23,101,4,102.628494333476,-0.319556796108373,1.44210594613105,-0.204444855815601,0.00846110122394748,-0.00808903194498271,0,29,0.0633031517337076,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,20,"midpoint"
5,0,0,0,0,23,4,134,4,136.480663628317,0.459894590824842,1.57780662900768,0.310044092604761,-0.00443008194095455,-0.00112059352919459,0,52,0.0227549592521973,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,20,"midpoint"
6,0,0,0,0,13,7,150,4,139.58958344534,-0.47958683911711,1.61149388086051,-7.55958916329718,0.0029247060988564,0.0243507309677079,0,23,0.037761120419018,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,20,"midpoint"
7,0,0,0,0,32,34,125,15,126.561311865225,0.475627971533686,1.26158748799935,-12.1594480541514,0.00378710421151481,0.0151441273838282,1,35,0.0322657127096318,0,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,0,20,"midpoint"
