"speciesid","population","season","mean.emergence","median.emergence","q1","q3","first","last","sd","run","type"
6,65,3,101.461538461538,103,98,105,91.2,109.8,6.29503009096492,15,"control"
7,28,3,104.821428571429,107,102.75,109,91.05,112.65,6.84242523296989,15,"control"
8,141,3,109.914893617021,110,107,113,102,118,5.16096524983751,15,"control"
9,165,3,92.9333333333333,92,90,96,86,101,5.25349283732927,15,"control"
10,51,3,129.862745098039,132,126,136,111.5,139,8.32591041951122,15,"control"
11,127,3,111.858267716535,111,107,115,103,123.7,6.77498246872776,15,"control"
12,139,3,130.892086330935,131,129,133,124.9,137,3.77768168974236,15,"control"
13,1,3,122,122,122,122,122,122,NA,15,"control"
14,2,3,130,130,129,131,128.2,131.8,2.82842712474619,15,"control"
16,150,3,122.066666666667,122,120,124.75,117,128,3.57783382154428,15,"control"
17,113,3,146.495575221239,146,144,149,140.6,154,3.91454224154103,15,"control"
18,72,3,92.25,93,90,94.25,86.55,97,3.52356253779417,15,"control"
19,148,3,141.993243243243,142,139.75,144,136.35,148.65,3.63934774305122,15,"control"
20,88,3,109.068181818182,109.5,105,113,100.35,117,5.91665378896858,15,"control"
1,91,4,117.494505494505,118,113,121,108,128.5,6.42455986624527,15,"control"
3,119,4,113.705882352941,113,110,116,107.9,122,5.07461769650709,15,"control"
4,44,4,104.25,104.5,101.75,106.25,96.3,111.85,4.39939213560131,15,"control"
5,69,4,132.782608695652,132,130,135,125,141.6,5.43915425199379,15,"control"
6,51,4,103.43137254902,103,100,105,97,112,4.80938624758205,15,"control"
7,29,4,102.793103448276,106,97,109,88,112,8.55811774342611,15,"control"
8,134,4,109.402985074627,110,106,112.75,102,117,4.64550781960715,15,"control"
9,166,4,92.1566265060241,91,89,94,86.25,100.5,4.63447405459208,15,"control"
10,48,4,132.208333333333,131.5,128,138,119.35,143.65,8.10032395814824,15,"control"
11,125,4,111.544,111,107,116,99.4,125.8,7.58553802289424,15,"control"
12,165,4,130.612121212121,131,129,133,124,137,4.21030657418586,15,"control"
16,143,4,121.867132867133,121,119,124,115,128.9,4.47723154248682,15,"control"
17,106,4,145.349056603774,146,143,147,141,150,3.35812434277342,15,"control"
18,80,4,92.575,92,90,94,87,99.05,3.47422698805892,15,"control"
19,139,4,142.553956834532,142,140,145,137,149,3.62193931132685,15,"control"
20,86,4,108.883720930233,110,107,112,99.25,115,4.83958822908377,15,"control"
1,87,5,117.67816091954,117,112.5,121.5,104.9,130.1,8.14190174469794,15,"control"
3,102,5,114.049019607843,114,111,117,108,121.95,4.52140662197019,15,"control"
4,46,5,103.717391304348,104,101.25,107,97.25,110,5.12364038758147,15,"control"
5,76,5,132.710526315789,133,129.75,136.25,122.75,140,4.91206891774042,15,"control"
6,40,5,101.875,102.5,98.75,107,94.85,109,5.72975812797785,15,"control"
7,33,5,105.333333333333,106,102,108,97.2,114.2,5.15186050535791,15,"control"
8,139,5,109.661870503597,109,106,113,101.9,118,5.44877855855885,15,"control"
9,162,5,92.7098765432099,92,90,95,86,99.95,4.42842610287661,15,"control"
10,33,5,129.333333333333,131,124,135,116,141.4,8.89756521002609,15,"control"
11,121,5,112.247933884298,111,108,116,102,125,8.0480649762697,15,"control"
12,173,5,131.352601156069,131,129,133,126.6,136,3.37526168621987,15,"control"
16,143,5,122.006993006993,122,120,124,117,128.9,3.78934106185354,15,"control"
17,128,5,145.671875,146,143,148,140,151,3.72501519312021,15,"control"
18,80,5,92.0375,92,90,94,87,96.1,3.18399379014724,15,"control"
19,159,5,141.622641509434,141,140,143,136,147.1,3.4525339167951,15,"control"
20,70,5,107.814285714286,108,105.25,111,99.45,114.55,4.79218221189125,15,"control"
1,82,6,117.682926829268,117,113.25,122,107.1,129.85,7.0760909358806,15,"control"
3,123,6,113.49593495935,113,110,116,106,122.9,5.39333830703171,15,"control"
4,45,6,102.577777777778,103,100,105,94.2,110,5.28930691837481,15,"control"
5,65,6,132.061538461538,132,129,135,125,140,4.7430110527126,15,"control"
6,38,6,101.526315789474,102,98.25,104,93.7,111.3,5.30546297801571,15,"control"
7,33,6,105.454545454545,107,101,110,96.6,112.4,5.77760173585735,15,"control"
8,128,6,109.7265625,110,106,113,102,117.65,5.01919911381233,15,"control"
9,172,6,92.6453488372093,92,90,95,87,100.45,4.3416696326688,15,"control"
10,27,6,131.851851851852,132,128.5,135,120.4,142,6.48491565512853,15,"control"
11,124,6,112.040322580645,111,108,116,103,125.85,7.29338623836178,15,"control"
12,180,6,130.661111111111,131,129,133,125,136,3.63127921023283,15,"control"
16,151,6,121.516556291391,121,119,123,117,127,3.3741256736835,15,"control"
17,117,6,145.709401709402,146,143,148,140.8,151,3.50629932889224,15,"control"
18,68,6,93.0147058823529,93,90,95,87,100,3.97188870843629,15,"control"
19,174,6,142.057471264368,142,140,144,136,149.35,3.98510614980091,15,"control"
20,69,6,108.840579710145,109,106,112,102,114,4.06789144833839,15,"control"
1,72,7,116.25,116,113,120.25,106.55,127,6.26132776271237,15,"control"
3,116,7,114.215517241379,113,111,117,107.75,125,5.05759185604264,15,"control"
4,17,7,104.058823529412,104,102,106,99.6,108.8,3.45453665915008,15,"control"
5,65,7,131.8,131,128,136,123.4,140.8,5.16357434341755,15,"control"
6,33,7,100.909090909091,100,98,103,93.2,108.4,5.21634232702641,15,"control"
7,33,7,104.363636363636,105,100,109,92.2,114.2,6.94540397411384,15,"control"
8,144,7,109.791666666667,110,106,114,101,119,5.59579637432752,15,"control"
9,171,7,92.812865497076,92,90,95,87,101.5,4.79338496134881,15,"control"
10,13,7,131.230769230769,130,124,137,122.2,144.2,8.4769672854727,15,"control"
11,127,7,111.055118110236,110,106,115,102,123.7,7.46240002098794,15,"control"
12,207,7,130.739130434783,131,129,133,123,136,4.11008293887819,15,"control"
16,146,7,121.938356164384,122,119,124,116,129,4.20545229473675,15,"control"
17,124,7,145.161290322581,145,143,147,140,150.85,3.13746595686307,15,"control"
18,78,7,92.2435897435897,92,90,93,88,98.3,3.66516028754541,15,"control"
19,182,7,142.291208791209,142,140,145,137,148.95,3.77953630268948,15,"control"
20,72,7,108.513888888889,109,106,111,101,116,4.77078272007103,15,"control"
1,40,8,115.65,114.5,111,119.25,105,127,6.36718349358848,15,"control"
3,123,8,113.934959349593,114,111,116,107,124,5.30965689576954,15,"control"
4,8,8,102.5,102,99.75,104,98.35,108.55,4.20883424647321,15,"control"
5,63,8,133.555555555556,133,130,137,126,141.9,5.85518181800222,15,"control"
6,19,8,101.947368421053,103,98,106,91.7,111.4,6.51897814257663,15,"control"
7,40,8,104.9,106,101,108,97.9,112,4.93444200986474,15,"control"
8,157,8,109.853503184713,110,106,113,102,119,4.86723120183387,15,"control"
9,170,8,92.1294117647059,92,90,94,86,99.55,4.09874633826282,15,"control"
10,3,8,128.333333333333,130,125.5,132,121.9,133.6,6.65832811847939,15,"control"
11,135,8,112.251851851852,112,107,117,101.7,125.9,7.68572869996919,15,"control"
12,214,8,130.53738317757,131,128,133,124,136,3.92727368107962,15,"control"
16,137,8,120.956204379562,121,119,123,115.8,127.2,3.38219519112411,15,"control"
17,123,8,145.49593495935,146,143,148,140,151,3.27527744723875,15,"control"
18,107,8,92.2523364485981,92,90,95,85.3,99,4.0865482457668,15,"control"
19,181,8,142.508287292818,142,140,145,137,150,3.97019280882258,15,"control"
20,73,8,109.27397260274,109,107,111,103,116.4,4.0731515029404,15,"control"
1,25,9,119.24,118,113,128,104,132,9.97613819738547,15,"control"
3,120,9,113.441666666667,113,110,116.25,105,124,5.48611054970509,15,"control"
4,5,9,105,103,102,108,100.4,111.2,4.89897948556636,15,"control"
5,66,9,133.393939393939,132.5,129.25,136,125,145.5,5.99455852709204,15,"control"
6,18,9,102.333333333333,101,99,105,97.4,110.3,4.78969482019348,15,"control"
7,37,9,103.972972972973,105,101,108,95.4,112.2,6.47425022036652,15,"control"
8,151,9,109.986754966887,110,107,112,102,119.5,5.28518275302679,15,"control"
9,168,9,92.3630952380952,92,89,95,84.35,101,5.00110837444174,15,"control"
10,2,9,132.5,132.5,131.75,133.25,131.15,133.85,2.12132034355964,15,"control"
11,129,9,112.341085271318,111,108,114,100.4,126.6,9.16131142020532,15,"control"
12,212,9,130.981132075472,131,129,134,124.55,138,4.23589072997785,15,"control"
16,148,9,122.398648648649,122,120,125,116,129,4.2438268330173,15,"control"
17,121,9,145.537190082645,146,143,148,139,152,3.92437112226076,15,"control"
18,110,9,92.4454545454546,92,90,95,86.45,98,3.99675639964439,15,"control"
19,197,9,142.431472081218,142,140,144,137,150,4.22234391399411,15,"control"
20,85,9,108.858823529412,109,106,112,99,116,5.30308297838439,15,"control"
1,15,10,118.933333333333,119,114.5,121.5,106.7,131.2,8.77062195763844,15,"control"
3,97,10,114.041237113402,114,111,117,105.8,124.2,5.44272742170151,15,"control"
4,1,10,102,102,102,102,102,102,NA,15,"control"
5,59,10,133.457627118644,133,129,137,124,143,5.93738022426792,15,"control"
6,11,10,101.909090909091,102,98,105.5,95.5,109.5,5.22407016519773,15,"control"
7,35,10,103.771428571429,104,100.5,107,95.1,113.6,5.78581284281654,15,"control"
8,164,10,108.707317073171,109,106,112,100,117.85,5.25891076659369,15,"control"
9,179,10,93.6424581005587,93,90,96,86,104.1,5.18485116124328,15,"control"
11,133,10,111.421052631579,111,107,115,100,122,7.36824732080447,15,"control"
12,224,10,130.928571428571,131,129,133,124,136.85,3.96896996885957,15,"control"
16,158,10,121.835443037975,121,119,124,117,128.15,3.63258564453579,15,"control"
17,125,10,145.16,145,143,147,140,151,3.9907150301184,15,"control"
