"Prediction","Actual","Difference","Seed"
0.078,0.0951789910510897,0.0951789910510897,10
0.156,-0.0128490295520899,-0.10802802060318,10
0.234,-1.02268731594899,-1.0098382863969,10
0.312,-0.237077294744199,0.78561002120479,10
0.39,0.659921153986464,0.896998448730664,10
0.468,0.825207497161633,0.165286343175169,10
0.546,-0.561081007163581,-1.38628850432521,10
0.624,0.290727297589702,0.851808304753283,10
0.702,-0.788682845512712,-1.07941014310241,10
0.78,0.544963199624774,1.33364604513749,10
0.858,1.86767073662905,1.32270753700427,10
0.936,1.62859817395625,-0.239072562672795,10
1.014,0.795682769264446,-0.832915404691805,10
1.092,1.99689432620803,1.20121155694358,10
1.17,1.84940991365094,-0.147484412557095,10
1.248,1.32987783501677,-0.519532078634165,10
1.326,0.450889450221961,-0.878988384794809,10
1.404,1.22516418749094,0.774274737268981,10
1.482,2.33014768458301,1.10498349709207,10
1.56,2.00260152016027,-0.327546164422745,10
1.638,1.0915409325096,-0.911060587650668,10
1.716,-0.286596858498558,-1.37813779100816,10
1.794,1.17555285453124,1.4621497130298,10
1.872,-0.0699076762664834,-1.24546053079773,10
1.95,0.79057253306908,0.860480209335563,10
2.028,1.68557655085623,0.895004017787151,10
2.106,1.47592420359251,-0.209652347263719,10
2.184,1.38475365119591,-0.0911705523966024,10
2.262,2.16874621389558,0.783992562699669,10
2.34,2.1074355222141,-0.061310691681475,10
2.418,0.719232247515316,-1.38820327469879,10
2.496,2.42457022504854,1.70533797753322,10
2.574,3.46159419445669,1.03702396940815,10
2.652,2.82146614973512,-0.640128044721564,10
2.73,1.46541970481144,-1.35604644492369,10
2.808,1.49249463833296,0.0270749335215201,10
2.886,3.21781673629509,1.72532209796214,10
2.964,1.3519728988546,-1.86584383744049,10
3.042,2.74458786962791,1.39261497077331,10
3.12,2.52290767729768,-0.221680192330235,10
3.198,4.19371570244728,1.6708080251496,10
3.276,2.57720387193932,-1.61651183050796,10
3.354,2.594613652925,0.0174097809856781,10
3.432,4.19671188479026,1.60209823186526,10
3.51,2.62324371933322,-1.57346816545704,10
3.588,3.56159362656992,0.9383499072367,10
3.666,3.87908604982009,0.31749242325017,10
3.744,3.46797236426957,-0.411113685550517,10
3.822,3.20103399600195,-0.26693836826762,10
3.9,4.50045060584595,1.299416609844,10
3.978,3.61085575190011,-0.889594853945842,10
4.056,3.74941236376678,0.138556611866668,10
4.134,5.38759300270512,1.63818063893834,10
4.212,6.17104977378497,0.783456771079855,10
4.29,4.7535327740144,-1.41751699977057,10
4.368,5.08860416091676,0.335071386902365,10
4.446,3.6192129743547,-1.46939118656207,10
4.524,5.01234680376968,1.39313382941498,10
4.602,4.01010250604751,-1.00224429772217,10
4.68,4.94666093439704,0.93655842834953,10
4.758,3.62386842872092,-1.32279250567612,10
4.836,4.41796006148204,0.794091632761124,10
4.914,4.15309231921025,-0.264867742271786,10
4.992,5.30368197586309,1.15058965665284,10
5.07,6.04722732900314,0.743545353140044,10
5.148,6.26245771801633,0.21523038901319,10
5.226,5.90018691865493,-0.3622707993614,10
5.304,4.863020423092,-1.03716649556293,10
5.382,5.89769930068318,1.03467887759118,10
5.46,4.31787261602474,-1.57982668465844,10
5.538,5.88707711565017,1.56920449962543,10
5.616,4.30515646553711,-1.58192065011306,10
5.694,4.73320453932925,0.428048073792143,10
5.772,5.5717633462901,0.838558806960849,10
5.85,4.48462243265556,-1.08714091363455,10
5.928,7.00266803610479,2.51804560344924,10
6.006,4.64988651743173,-2.35278151867306,10
6.084,5.68959260534683,1.0397060879151,10
6.162,5.19827834843139,-0.491314256915445,10
6.24,7.63529812569117,2.43701977725979,10
6.318,6.86126762922268,-0.774030496468492,10
6.396,6.19195299313474,-0.66931463608794,10
6.474,7.12729631475409,0.935343321619344,10
6.552,7.2086930040403,0.0813966892862146,10
6.63,7.03343764452162,-0.175255359518678,10
6.708,6.85355238137591,-0.179885263145713,10
6.786,7.39060785636739,0.537055474991484,10
6.864,8.89888421911415,1.50827636274675,10
6.942,5.85703273412647,-3.04185148498768,10
7.02,6.9522268732665,1.09519413914003,10
7.098,6.71645257593399,-0.235774297332505,10
7.176,7.00052558018509,0.284073004251098,10
7.254,7.31773083768174,0.31720525749665,10
7.332,8.39076119862484,1.0730303609431,10
7.41,7.95521891274543,-0.435542285879415,10
7.488,6.18703722270166,-1.76818169004377,10
7.566,6.09364097235389,-0.0933962503477641,10
7.644,8.46227729435969,2.3686363220058,10
7.722,7.85778111413403,-0.604496180225662,10
7.8,8.92444881668891,1.06666770255488,10
