"speciesid","population","season","mean.emergence","median.emergence","q1","q3","first","last","sd","run","type"
5,404,2,149.839108910891,150,147,152,144,157,4.08669756291547,12,"control"
6,260,2,96.8230769230769,97,93,100,88,105.05,5.53118974489757,12,"control"
7,410,2,128.409756097561,129,126,130,123.45,133.55,3.02441611718718,12,"control"
8,18,2,144.777777777778,143,142,147.75,140,149.75,3.73466362853479,12,"control"
9,176,2,97.6079545454545,98,95,100,91,104,3.73550445140861,12,"control"
10,326,2,113.036809815951,113,110,116,105,120,4.74440829810245,12,"control"
11,192,2,100.875,101,98,103,94.55,107,3.89992616388691,12,"control"
12,194,2,147.948453608247,148,145,151,138.65,156,5.27457708251487,12,"control"
13,88,2,145.261363636364,146,143,147,140,151.65,3.38181179143451,12,"control"
14,232,2,95.3060344827586,94,91.75,98,87,106,6.11692406068391,12,"control"
15,42,2,150.214285714286,151,148,152,145,155.95,3.52368788439331,12,"control"
16,558,2,119.225806451613,119,116,122,112,128,4.48647446428325,12,"control"
17,138,2,99.2101449275362,99,96,102,93,106.15,4.76981521708337,12,"control"
18,24,2,135.625,136,134,138,130,140.7,3.60931765200065,12,"control"
19,218,2,106.165137614679,106,104,108,99.85,112,4.01038688612042,12,"control"
20,476,2,125.577731092437,126,123,129,117,133,4.98632317857765,12,"control"
22,546,2,106.978021978022,107,102,111,96,119.75,7.39547794682003,12,"control"
23,256,2,89.2265625,90,86,93,79,98.25,5.89744357211449,12,"control"
24,240,2,143.508333333333,143,141,146,138,151,3.96004275648557,12,"control"
25,502,2,144.810756972112,145,142,147,138,152,4.16357695720208,12,"control"
1,440,3,112.481818181818,112,110,115,106,120,4.35389348586171,12,"control"
2,1176,3,126.783163265306,127,124,130,117,135,5.37272121967868,12,"control"
3,366,3,134.972677595628,135,132,138,127,143,4.78917923472759,12,"control"
4,188,3,92.5425531914894,93,88.75,97,82,101,6.34256462849802,12,"control"
5,238,3,150.180672268908,150,147,152.75,144,158,4.65031694053356,12,"control"
6,368,3,95.8125,96,93,99,86.35,105,5.46229645490868,12,"control"
7,446,3,128.417040358744,128,127,130,123,134,3.19002324434966,12,"control"
9,166,3,97.6385542168675,97,95.25,100,92,104,3.89118136849174,12,"control"
10,310,3,112.703225806452,113,111,116,105,119,4.35730119487874,12,"control"
11,190,3,100.684210526316,101,98,103,94,107.55,4.36620779824492,12,"control"
12,60,3,148.433333333333,149,146,151,141.8,154.1,4.87597592723117,12,"control"
13,24,3,145.208333333333,145,143,148,141.15,149.85,3.17571171984112,12,"control"
14,342,3,94.9005847953216,95,91,98,86.05,106,5.69936454837309,12,"control"
15,6,3,148.5,148.5,145.5,150.75,144.25,153.25,3.83405790253616,12,"control"
16,1016,3,119.126968503937,119,116,121,112,128,4.81588310814562,12,"control"
17,176,3,99.1988636363636,98.5,96,102,92,108,4.76897100175545,12,"control"
19,314,3,106.936305732484,107,104,109,101,113,3.73427528014344,12,"control"
20,758,3,125.352242744063,126,123,129,115.85,133,5.20655911742517,12,"control"
22,1068,3,106.761235955056,106,102,111,96,119,7.61971713337398,12,"control"
23,350,3,89.4514285714286,89,86,93,82,98,5.36214960469544,12,"control"
24,74,3,143.432432432432,143.5,141,146,138,148,3.43264377955096,12,"control"
25,420,3,144.902380952381,145,142,147,137,152,4.65030027491685,12,"control"
1,450,4,112.577777777778,112,110,115,107,120,4.25620934525035,12,"control"
2,1984,4,126.808467741935,127,124,130,117,135,5.55199226629779,12,"control"
3,102,4,135.490196078431,135,133,138,128,143,4.69198832230198,12,"control"
4,258,4,92.5813953488372,93,89,96.75,80,102.15,6.85445996353683,12,"control"
5,92,4,150.489130434783,150,148,152,144,158.35,4.13905166506731,12,"control"
6,308,4,96.1071428571429,96,93,99,87,106,5.77128246201815,12,"control"
7,250,4,128.052,128,126,130,122.45,133,3.28702206506511,12,"control"
9,130,4,97.5307692307692,98,96,100,93,103,3.83615695441295,12,"control"
10,222,4,112.509009009009,113,110,116,105,119,4.40766608087108,12,"control"
11,174,4,101.574712643678,102,99,104,95,107,4.0634624146855,12,"control"
12,4,4,146.75,146,143.75,149,143.15,151.4,4.11298755975102,12,"control"
14,480,4,95.33125,94,91,99,87,107.05,6.46821863394018,12,"control"
16,1356,4,119.133480825959,119,116,122,112,127,4.55575059094158,12,"control"
17,180,4,98.4222222222222,98,95.75,101,91.95,107,4.63404399517571,12,"control"
19,410,4,106.819512195122,107,105,109,101,114,4.20868931808164,12,"control"
20,844,4,125.336492890995,126,123,128,117,132,4.81772577423973,12,"control"
22,2024,4,106.961956521739,106,102,111,96,120,7.3607041592706,12,"control"
23,488,4,89.9754098360656,90,87,93,81.35,99,5.44898025952109,12,"control"
24,10,4,145.7,143.5,142,148.5,139.35,156.75,6.54980915752513,12,"control"
25,62,4,145.048387096774,144,142,148.75,137.05,152,4.59303613772565,12,"control"
1,378,5,112.293650793651,112,110,114,106,119,4.11905218228466,12,"control"
2,2990,5,126.808695652174,127,124,130,117,135,5.5500573093302,12,"control"
3,40,5,135.125,136,132,138.25,129.85,141,4.67501542572527,12,"control"
4,240,5,92.7333333333333,93,89,97,81.95,102,6.05585346811959,12,"control"
