"speciesid","active","dead","hunger","maturity","x_loc","y_loc","emergence","interactions","midpoint","scale","skew","midpoint.sensitivity","scale.sensitivity","skew.sensitivity","generalism","lifespan","efficacy","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","season","run","type"
24,0,0,0,0,6,-1,101,11,107.184152640402,0.40235750998836,1.64319021767005,-2.5820378979235,-0.00156509722582996,0.00709189875982702,1,31,0.0451517029223032,0,0,1,1,1,0,0,1,0,0,1,0,1,0,1,1,0,1,1,1,0,16,"control"
25,0,0,0,0,2,12,116,6,106.847421359271,-0.34912787550129,1.59344767290168,5.9042692973547,0.00608213218511082,0.0378076461819001,0,38,0.0357678362238221,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,16,"control"
24,0,0,0,0,10,19,103,11,107.184152640402,0.40235750998836,1.64319021767005,-2.5820378979235,-0.00156509722582996,0.00709189875982702,1,31,0.0451517029223032,0,0,1,1,1,0,0,1,0,0,1,0,1,0,1,1,0,1,1,1,1,16,"control"
22,0,0,0,0,27,42,99,8,95.877510770224,-0.55956608299166,1.1455819348339,-16.1268705139815,0.00635234238463454,0.0161055265902542,1,26,0.0762383189494722,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,1,0,1,1,16,"control"
20,0,0,0,0,37,26,118,16,114.845437263139,0.387333929445595,1.7548348645214,1.99860918816839,0.00536345251370221,0.0206445472873747,1,27,0.0241582435253076,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,16,"control"
19,0,0,0,0,34,34,90,3,90.5792025150731,0.454592460463755,1.95601632283069,-11.3798452805318,-0.00431790120317601,0.00672833760967478,0,34,0.0635987999197096,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,16,"control"
1,0,0,0,0,20,15,104,5,101.489417804405,0.40266794138588,1.15320951328613,-0.921863937415714,-0.000877008954994381,0.00579190640477464,0,28,0.0813513637031429,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,16,"control"
10,0,0,0,0,26,36,110,4,115.051174932159,0.384279789961874,1.56146682030521,-13.5566724132156,-0.00406019942252897,0.0105812174943276,0,30,0.0258075567730702,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,16,"control"
11,0,0,0,0,34,4,108,5,120.318163521588,0.383141733077355,1.77620120043866,-6.19146194393437,0.00894645520485937,0.0323877696273848,0,34,0.0622518431046046,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,16,"control"
17,0,0,0,0,42,26,103,7,92.9499068018049,-0.348521962179802,1.75851125759073,10.3264692211356,0.000140044554136693,0.0286101379874162,1,35,0.0990943279024214,0,0,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,16,"control"
4,0,0,0,0,29,43,120,5,113.918136865832,-0.328810689761303,1.58034006692469,-4.1159348661881,0.0081748722679913,0.0196186763094738,0,27,0.0809562834515236,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,16,"control"
15,0,0,0,0,16,41,98,2,93.8915708754212,-0.368279728246853,1.61833332595415,-11.0856007246355,-0.00426158194546588,0.0204370638681576,0,44,0.0566497019375675,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,16,"control"
25,0,0,0,0,25,6,105,6,106.847421359271,-0.34912787550129,1.59344767290168,5.9042692973547,0.00608213218511082,0.0378076461819001,0,38,0.0357678362238221,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,1,16,"control"
3,0,0,0,0,1,29,132,3,135.180837032385,0.490462373150513,1.88821959053166,0.370398600290681,-0.00274349062237889,0.0112905152817257,0,21,0.0776402469258756,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,16,"control"
14,0,0,0,0,5,9,116,3,114.492213777266,0.437367982137948,1.31649486743845,-9.28435075083589,-0.00416158676263876,0.0268220946402289,0,36,0.0224654134479351,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,16,"control"
12,0,0,0,0,24,8,127,5,128.343019369058,0.3960332543822,1.98859551292844,-9.54582335715575,0.00385748527478427,0.0256534865219146,0,33,0.0206721421866678,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,16,"control"
