"speciesid","active","dead","pollinated","maturity","x_loc","y_loc","emergence","interactions","midpoint","scale","skew","midpoint.sensitivity","scale.sensitivity","skew.sensitivity","generalism","lifespan","seedlings","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","season","run","type"
19,0,0,0,0,18,14,146,5,146.050010346808,0.491786847123876,1.56489224452525,-3.95656069512523,-0.00354961419478059,0.0281190304062329,0,35,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,15,"control"
15,0,0,0,0,36,3,96,9,98.4308258397505,0.314724488882348,1.62131577800028,-2.12563145139502,-0.00349593924591318,0.0101372312381864,1,27,0,1,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,15,"control"
9,0,0,0,0,7,33,135,3,129.42103067413,0.392476446577348,1.11726160650142,-8.8628087959887,-0.000132284824503586,0.0175903845438734,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,15,"control"
7,0,0,0,0,9,36,83,2,91.8388086743653,0.556717017944902,1.49074752652086,-1.97091526243818,0.00259532200987451,0.00561889811418951,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,15,"control"
20,0,0,0,0,40,26,112,5,112.20778088551,-0.40165565838106,1.97082963236608,-2.72544442919764,0.000246223632711917,0.0363822591118515,0,34,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,15,"control"
17,0,0,0,0,3,25,100,4,101.482168254443,-0.420502264844254,1.03597841504961,1.08835365051091,-0.00109370599035174,0.00228136416757479,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,15,"control"
8,0,0,0,0,27,18,104,3,102.980764978565,-0.349112180806696,1.56181338778697,-7.70825508342696,0.00867828495102003,0.00125314916716889,0,24,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,15,"control"
4,0,0,0,0,12,4,101,3,109.481902895495,0.32068617423065,1.44070832105353,-0.589687436152992,-0.00233689831220545,0.0186382730468176,0,41,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,15,"control"
13,0,0,0,0,9,19,111,4,106.365472488105,0.511946716136299,1.55078267445788,-7.64367669004377,-0.00259465041919611,0.0294234957522713,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,15,"control"
2,0,0,0,0,5,17,114,4,116.244661733508,-0.423616613983177,1.21143148676492,-3.05536130416217,-0.0027765279286541,0.0319439023127779,0,33,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,15,"control"
